11.263: [GC 11.264: [ParNew: 3388K->42K(3904K), 0.0004393 secs] 9996K->6650K(12552K), 0.0004843 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.269: [GC 11.269: [ParNew: 3422K->53K(3904K), 0.0009855 secs] 10030K->6661K(12552K), 0.0010357 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.272: [GC 11.272: [ParNew: 3439K->43K(3904K), 0.0003739 secs] 10047K->6651K(12552K), 0.0004696 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.275: [GC 11.275: [ParNew: 3413K->76K(3904K), 0.0004090 secs] 10021K->6685K(12552K), 0.0004539 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.278: [GC 11.278: [ParNew: 3419K->82K(3904K), 0.0003751 secs] 10027K->6690K(12552K), 0.0004079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.280: [GC 11.280: [ParNew: 3440K->89K(3904K), 0.0007825 secs] 10049K->6697K(12552K), 0.0008224 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.284: [GC 11.284: [ParNew: 3457K->96K(3904K), 0.0004228 secs] 10065K->6704K(12552K), 0.0004585 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.288: [GC 11.288: [ParNew: 3408K->101K(3904K), 0.0004654 secs] 10017K->6709K(12552K), 0.0005129 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.290: [GC 11.290: [ParNew: 3438K->106K(3904K), 0.0003953 secs] 10046K->6715K(12552K), 0.0004296 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.292: [GC 11.292: [ParNew: 3489K->112K(3904K), 0.0003791 secs] 10097K->6720K(12552K), 0.0004123 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
11.294: [GC 11.294: [ParNew: 3466K->70K(3904K), 0.0003336 secs] 10075K->6678K(12552K), 0.0003672 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.297: [GC 11.297: [ParNew: 3373K->124K(3904K), 0.0004242 secs] 9981K->6732K(12552K), 0.0004640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.300: [GC 11.300: [ParNew: 3498K->128K(3904K), 0.0004272 secs] 10107K->6736K(12552K), 0.0004648 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.303: [GC 11.303: [ParNew: 3420K->132K(3904K), 0.0004287 secs] 10029K->6740K(12552K), 0.0004638 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
